"name","value","note","date"
"signFlipRoundedEpsOneHundredLaplaceAlphaOne","0\%",NA,2026-09-04
"epiParityEpsOneHundredGaussianAlphaFive","95.9\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredGaussianAlphaFive","96\%",NA,2026-09-04
"epiDisparityEpsOneHundredGaussianAlphaFive","4.1\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredGaussianAlphaFive","4\%",NA,2026-09-04
"epiParityEpsOneHundredLaplaceAlphaFive","96.0\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredLaplaceAlphaFive","96\%",NA,2026-09-04
"epiDisparityEpsOneHundredLaplaceAlphaFive","4.0\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredLaplaceAlphaFive","4\%",NA,2026-09-04
"epiSignParityEpsOneHundredGaussianAlphaFive","95.2\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredGaussianAlphaFive","95\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredGaussianAlphaFive","4.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredGaussianAlphaFive","5\%",NA,2026-09-04
"epiSignParityEpsOneHundredLaplaceAlphaFive","95.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredLaplaceAlphaFive","95\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredLaplaceAlphaFive","4.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredLaplaceAlphaFive","5\%",NA,2026-09-04
"ciCoverageEpsOneHundredGaussianAlphaFive","98.8\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredGaussianAlphaFive","99\%",NA,2026-09-04
"ciCoverageEpsOneHundredLaplaceAlphaFive","99.4\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredLaplaceAlphaFive","99\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredGaussianAlphaFive","0.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredGaussianAlphaFive","0\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredLaplaceAlphaFive","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredLaplaceAlphaFive","0\%",NA,2026-09-04
"signFlipEpsOneHundredGaussianAlphaFive","0.0\%",NA,2026-09-04
